Nodo Origen;Nodo Destino;Distancia;Latitud Origen;Longitud Origen;Latitud Destino;Longitud Destino
Pje. Pujato y Cngo. Echague;Pje. Pujato y Patricio Cullen;50;-31.6126283;-60.6723187;-31.6124102;-60.6733922
Estanislao Zeballos y Av. Almte. Brown;Estanislao Zeballos y Riobamba;80;-31.6113093;-60.6675535;-31.6110293;-60.6685313
Estanislao Zeballos y Riobamba;Estanislao Zeballos y Defensa;100;-31.6110293;-60.6685313;-31.6108359;-60.6695877
Estanislao Zeballos y Defensa;Estanislao Zeballos y Talcahuano;100;-31.6108359;-60.6695877;-31.6106079;-60.6706416
Estanislao Zeballos y Talcahuano;Estanislao Zeballos y Cngo. Echague;100;-31.6106079;-60.6706416;-31.6103896;-60.6717144
Estanislao Zeballos y Cngo. Echague;Estanislao Zeballos y Patricio Cullen;100;-31.6103896;-60.6717144;-31.6101541;-60.6727665
Estanislao Zeballos y Patricio Cullen;Estanislao Zeballos y Antonia Godoy;100;-31.6101541;-60.6727665;-31.6099372;-60.6738447
Estanislao Zeballos y Antonia Godoy;Estanislao Zeballos y Piedras;100;-31.6099372;-60.6738447;-31.6096925;-60.6749145
Estanislao Zeballos y Piedras;Estanislao Zeballos y Tacuari;100;-31.6096925;-60.6749145;-31.6094725;-60.6759687
Estanislao Zeballos y Tacuari;Estanislao Zeballos y Velez Sarsfield;100;-31.6094725;-60.6759687;-31.6092522;-60.6770081
Estanislao Zeballos y Velez Sarsfield;Estanislao Zeballos y Av. Gral. Paz;50;-31.6092522;-60.6770081;-31.6091207;-60.6776176
Obispo Boneo y Av. Gral. Paz;Obispo Boneo y Tacuari;120;-31.6082433;-60.6771404;-31.6085482;-60.675713
Obispo Boneo y Tacuari;Obispo Boneo y Piedras;100;-31.6085482;-60.675713;-31.6087674;-60.6746527
Obispo Boneo y Piedras;Obispo Boneo y Antonia Godoy;100;-31.6087674;-60.6746527;-31.6090094;-60.6735862
Obispo Boneo y Antonia Godoy;Obispo Boneo y Patricio Cullen;100;-31.6090094;-60.6735862;-31.6092398;-60.6725298
Obispo Boneo y Patricio Cullen;Obispo Boneo y Cngo. Echague;100;-31.6092398;-60.6725298;-31.6094671;-60.6714587
Obispo Boneo y Cngo. Echague;Obispo Boneo y Talcahuano;100;-31.6094671;-60.6714587;-31.6048501;-60.6933624
Obispo Boneo y Talcahuano;Obispo Boneo y Defensa;100;-31.6048501;-60.6933624;-31.6099147;-60.6693373
Obispo Boneo y Defensa;Obispo Boneo y Riobamba;100;-31.6099147;-60.6693373;-31.6101041;-60.6682827
Obispo Boneo y Riobamba;Obispo Boneo y  Av. Almte. Brown;100;-31.6101041;-60.6682827;-31.6103871;-60.6671033
Espora y Av. Almte. Brown;Espora y Riobamba;100;-31.6092275;-60.6669379;-31.5952316;-60.7352506
Espora y Riobamba;Espora y Defensa;100;-31.5952316;-60.7352506;-31.6106578;-60.697294
Espora y Defensa;Espora y Talcahuano;100;-31.6106578;-60.697294;-31.6086368;-60.6701257
Espora y Talcahuano;Espora y Cngo. Echague;100;-31.6086368;-60.6701257;-31.5984841;-60.7183871
Espora y Cngo. Echague;Espora y Patricio Cullen;100;-31.5984841;-60.7183871;-31.6082179;-60.6722602
Espora y Patricio Cullen;Espora y Antonia Godoy;100;-31.6082179;-60.6722602;-31.6071467;-60.6730978
Espora y Antonia Godoy;Espora y Piedras;100;-31.6071467;-60.6730978;-31.607793;-60.674382
Espora y Piedras;Espora y Tacuari;100;-31.607793;-60.674382;-31.607586;-60.6754604
Espora y Tacuari;Espora y Av. Gral. Paz;110;-31.607586;-60.6754604;-31.6073499;-60.6766716
Obispo Principe y Av. Gral. Paz;Obispo Principe y Tacuari;100;-31.6065238;-60.6762147;-31.6067399;-60.6752202
Obispo Principe y Tacuari;Obispo Principe y Piedras;100;-31.6067399;-60.6752202;-31.6069411;-60.6741521
Obispo Principe y Piedras;Obispo Principe y Antonia Godoy;100;-31.6069411;-60.6741521;-31.6071467;-60.6730978
Obispo Principe y Antonia Godoy;Obispo Principe y Juan Maciel;100;-31.6071467;-60.6730978;-31.6072605;-60.6725253
Obispo Principe y Juan Maciel;Obispo Principe y Patricio Cullen;100;-31.6072605;-60.6725253;-31.6073565;-60.6720199
Obispo Principe y Patricio Cullen;Obispo Principe y Cngo. Echague;100;-31.6073565;-60.6720199;-31.6075692;-60.6709635
Obispo Principe y Cngo. Echague;Obispo Principe y Talcahuano;100;-31.6075692;-60.6709635;-31.6077928;-60.6698926
Obispo Principe y Talcahuano;Obispo Principe y Defensa;100;-31.6077928;-60.6698926;-31.6080113;-60.6688298
Obispo Principe y Defensa;Obispo Principe y Riobamba;100;-31.6080113;-60.6688298;-31.6082151;-60.667767
Obispo Principe y Riobamba;Obispo Principe y Av. Almte. Brown;100;-31.6082151;-60.667767;-31.6084149;-60.666555
Alberti y Av. Almte. Brown;Alberti y Riobamba;100;-31.6075799;-60.6664761;-31.6074023;-60.6675403
Alberti y Riobamba;Alberti y Defensa;100;-31.6074023;-60.6675403;-31.6106578;-60.697294
Alberti y Defensa;Alberti y Talcahuano;100;-31.6106578;-60.697294;-31.6061373;-60.6694455
Alberti y Talcahuano;Alberti y Cngo. Echague;100;-31.6061373;-60.6694455;-31.606447;-60.6706817
Alberti y Antonia Godoy;Alberti y Juan Maciel;50;-31.6071467;-60.6730978;-31.6072344;-60.6725462
Alberti y Juan Maciel;Alberti y Patricio Cullen;50;-31.6072344;-60.6725462;-31.6020475;-60.6706279
